,,,,Please ensure that you join our Slack group so that we can communicate with transcribers: ,,,,,,https://join.slack.com/t/codethecity/shared_invite/zt-ebfpmtdt-wMnHGebBCNJTCEInaYCwNw,,,,
226af644-0726-4513-8df4-b79e2b0bcafe,02-Jan-1914,15,St Clair,British,Mackenzie,348,Wick,Goods,,,,Kate Pangbourne,Ian Watt,
be7d3444-3031-476c-a576-e80c50c949eb,02-Jan-1914,16,James Crowdie,British,Darroch,263,Invergordon,Goods,,,,Kate Pangbourne,Ian Watt,
953320c3-bf93-4e26-8377-a3e64c03c083,02-Jan-1914,17,Cronstadd,British,Logan,1042,Suza,Esparto DC,,,,Kate Pangbourne,Ian Watt,
e66d0d91-fd94-4bc9-aa04-7e78f7a16f1a,02-Jan-1914,18,St Magnus,British,Leask,272,Stromness,Goods,,,,Kate Pangbourne,Ian Watt,
92510320-86a2-4bc3-a12d-87296970ad42,03-Jan-1914,19,Princess Alberta,British,Cubbin,526,Leith,Goods,Moderate westerley accompanied by fine weather sea smooth,,,Kate Pangbourne,Ian Watt,
33ab41bf-c8d8-4e59-bf4a-d47db27065a9,03-Jan-1914,20,Ethel,British,Campbell,99,Corriden,Coal,,,,Kate Pangbourne,Ian Watt,
7433c72c-37bf-481e-ac8e-d9682681da3e,03-Jan-1914,21,Firth,British,Wright,163,Bo'ness,Coal,,,,Kate Pangbourne,Ian Watt,
24b8d25f-ba8f-421b-aa72-80a7adf1a90c,03-Jan-1914,22,Lucita,British,Wilson,114,Kirkwall,Goods,,,,Kate Pangbourne,Ian Watt,
02fd6a3d-62a8-4de0-94c3-7836b4db53c9,03-Jan-1914,23,Spray II,British,Alves,580,Sunderland,Coal,,,,Kate Pangbourne,Ian Watt,
3ee0e773-718e-4ce6-b959-74a2b9985d21,04-Jan-1914,24,Earnholm,British,Macdonald,191,Leith,Goods,Moderate to fresh south west wind overcast and threatening,,,Kate Pangbourne,Ian Watt,
1428be17-48d8-4aac-858d-72c619361c6e,04-Jan-1914,25,Princess Maud,British,Kenzie,580,Liverpool,Goods,,,,Kate Pangbourne,Ian Watt,
26969c1b-b98c-4621-916e-c3fff265b7cf,04-Jan-1914,26,Pennant,British,Jones,238,Beaumaris,Slates RC,,,,Kate Pangbourne,Ian Watt,
091ac0f2-8c8c-4d1a-8f22-6a589187f5dc,04-Jan-1914,27,Redhall,British,Ross,345,Shields,Coal,,,,Kate Pangbourne,Ian Watt,"Could be Redhall?
AG: Yeah this matches other data that we have"
7b28a349-db61-4979-b87c-0ab91218a7b7,04-Jan-1914,28,Frankland,British,Herring,452,Sunderland,Coal,,,,Kate Pangbourne,Ian Watt,
2fd9456c-1dd4-46c7-90a7-b8b2e38ae615,04-Jan-1914,29,Ruby,British,Soang,81,(blank),,,,,Kate Pangbourne,Ian Watt,
cf2fd857-72e7-4463-86ee-62066b67e453,04-Jan-1914,30,St Sunniva ,British,Johnston,423,Lerwick,Goods,,,,Kate Pangbourne,Ian Watt,
d80e767d-ee8c-4da1-b8bf-87d9f9d5fb7f,04-Jan-1914,31,St Nicholas,British,Hunter,452,Leith,Goods,,,,Kate Pangbourne,Ian Watt,
5f7fa9e8-9844-409a-9d9b-eb0960ff5b13,04-Jan-1914,32,Portlethen,British,Godsman,57,Macduff,[unreadable],,,The cargo looks like it may have been written over. Silage? ,Kate Pangbourne,Ian Watt,
ea92f6dc-e226-4ec8-ac86-d38b801f4d28,04-Jan-1914,33,Oberon,British,Hunter,39,Hull,[unreadable],,,"Can't read the port of origin, and the cargo looks similar to one above but also written over.",Kate Pangbourne,Ian Watt,
424b44d2-74cf-4fc6-976c-210cc4eb73ee,05-Jan-1914,34,Norwood,British,Clark,348,Hull,Goods,,,"Can't read the port of origin, could be same as #33",Kate Pangbourne,Ian Watt,
956b75ec-1c47-4029-8a94-9cfee2b628f1,05-Jan-1914,(blank),Portlethen,British,Godsman,(blank),Macduff,Light,,,,,,
77529b8b-c1d0-4479-8710-122ea10561da,05-Jan-1914,35,City of London,British ,Taylor,575,London,Goods,"Fair weather, wind northwest, sea smooth",,,Elaine Maslin,Ian Watt,
99989903-4c4f-486c-8452-dfceef52d822,05-Jan-1914,36,Ella,Norway,Jacob,542,Windaw,Oats ,,F,,Elaine Maslin,Ian Watt,
90aeb8a7-38cb-4407-af1f-79384c9d80bf,06-Jan-1914,37,St Magnus,British ,Leask,272,Leith,Goods,Fresh north to north west wind with occasional showers.,"The St Vera(?), discharging esparto in the dock took fire in both No 1 and 2 holds. it was extinguished by the fire brigade.",,Elaine Maslin,Ian Watt,
05135e84-9302-4093-bbb9-c802853a502b,06-Jan-1914,38,St Clair ,British ,McPherson,349,Leith,Goods,,,,Elaine Maslin,Ian Watt,
82a0de72-e717-4838-9857-d62c7aa24d50,06-Jan-1914,39,James Crombie,British ,Darroch,263,Leith,Goods,,,,Elaine Maslin,Ian Watt,
8c7374a8-ee44-4619-a9fd-180ac131615d,06-Jan-1914,40,Caledonia,Holland,Roose,542,Rotterdam,Goods,,F,,Elaine Maslin,Ian Watt,
045811ef-aa32-473b-a80c-4921162d1209,06-Jan-1914,41,Princess Royal ,British ,Rundall,525,Liverpool ,Goods ,,,,Elaine Maslin,Ian Watt,
64cac8a2-a5ec-4014-a02e-93b5c4187c87,06-Jan-1914,42,Express ,British ,Heddle,98,Kirkwall,Goods,,,,Elaine Maslin,Ian Watt,
e1dd2f66-06df-41d9-8568-06dd9dcd7769,06-Jan-1914,43,Quaker ,British ,Roberts,105,Fowey,China Clay,,,,Elaine Maslin,Ian Watt,
31e1b54d-db81-40ec-ab3c-07a215b0cf75,06-Jan-1914,44,Brenda,British ,McKenzie,(blank),North Sea,Cruising,,,"AG: Although there's clearly something written after Brenda, there are a few records here from Brenda that match the master, so going with that.",Elaine Maslin,Ian Watt,
d6b10562-7d5f-4753-8e16-902fbf386dfe,06-Jan-1914,45,St Ninian,British ,Williamson,292,Kirkwall,Goods,,,,Elaine Maslin,Ian Watt,
818d772d-22c6-47fa-ac9c-9fb9b5b84c12,06-Jan-1914,46,Faith,British ,Wright,163,Granton,Coal,,,,Elaine Maslin,Ian Watt,
5082b334-f5a6-40c7-972a-0c755c6d1ccf,07-Jan-1914,47,Earnholm,British ,Macdonald,191,Leith,Goods,Moderate southerly wind and overcast. Sea smooth. ,,,Elaine Maslin,Ian Watt,
f12299c2-d277-403f-b376-7b76d4721faa,07-Jan-1914,48,Thrift,British ,Mackay,151,Blyth,Coal,,,AG: Quite a few records for Thrift delivering coal from Blyth.,Elaine Maslin,Ian Watt,
835fb02a-a080-4e57-8619-da95b1a570c6,07-Jan-1914,49,Redhall,British ,Ross,345,Blyth,Coal,,,,Elaine Maslin,Ian Watt,
daefc9aa-aafe-4e99-930c-b7b6202c5f27,07-Jan-1914,50,Ballochbuie ,British ,Falconer ,395,Sunderland,Coal,,,,Elaine Maslin,Ian Watt,
ca664caa-8e28-446f-bae7-72dbfa48c75e,07-Jan-1914,51,Utopia,British ,Smith,64,Kirkcaldy,Coal,,,,Elaine Maslin,Ian Watt,
ebb11c41-a63f-4713-9987-61e8df6e09be,08-Jan-1914,52,Oberon,British ,Hunter,36,St Davids,Coal,"Variable winds, cloudy and overcast, channel very smooth. Took one chain of soundings. ",Old Patrick died @ 9.30am.,,Elaine Maslin,Ian Watt,
47866d97-52be-468b-b7a9-ef9753124f92,08-Jan-1914,53,Spray,British ,Lawerance,580,Sunderland,Coal,,,,Elaine Maslin,Ian Watt,
a0cbbe87-25ae-4861-be4a-d3efb98b8dee,08-Jan-1914,54,St Sunniva ,British ,Johnston,363,Leith,Goods,,,,Elaine Maslin,Ian Watt,
5b9ed7c1-99df-4e73-9c16-3790c86dd512,08-Jan-1914,55,Princess Maud,British ,McKenzie,658,Dundee,Goods,,,,Elaine Maslin,Ian Watt,
44fe9b6f-653d-4be9-a24b-699d38b898a2,08-Jan-1914,56,Advent,British ,Cook,530,Hull,Coal,,,,Elaine Maslin,Ian Watt,
625f9e31-e69a-4854-ab9b-7b675467510a,08-Jan-1914,57,Faith,British ,Wright,163,Granton,Coal,,,,Elaine Maslin,Ian Watt,
c2f49f04-f97c-4a35-9145-7ac8abf2323b,08-Jan-1914,58,Brilliant,Norway,Johansen,846,Kotka,Wood pulp,,F,,Elaine Maslin,Ian Watt,
8e7c6c4b-cd51-41f0-93ff-1376a9b8b342,09-Jan-1914,59,Frankland,British ,Herring,542,Sunderland,Coal,Fresh southerly wind with continuous rain. Sea choppy. ,,,Elaine Maslin,Ian Watt,
3b31935c-75b9-4ff0-a82d-e21eb491839f,09-Jan-1914,60,St Ninian,British ,Nicholson,292,Leith,Goods,,,,Elaine Maslin,Ian Watt,
ce44d921-b6e2-478f-9fe0-017db4e0f7af,09-Jan-1914,61,James Crombie,British ,Darrock,250,Inverness,Goods,,,,Elaine Maslin,Ian Watt,
fcc32fe5-97a7-491a-926c-17e680ff8cc4,09-Jan-1914,62,Aberdon,British ,Ross,497,Durham,Coal,,,,Elaine Maslin,Ian Watt,
9e46ed1c-a160-4124-8c99-22d42686b5f8,09-Jan-1914,63,St Clair ,British ,Mckenzie,349,Wick,Goods,,,,Elaine Maslin,Ian Watt,
6d078ef2-9219-4687-9f49-ba39c3c441c2,09-Jan-1914,64,Wreathier,British ,Hudson,385,Goole,Coal,,,AG: Looks like Wreathier is correct: https://crewlist.org.uk/data/vesselsnum/104214,Elaine Maslin,Ian Watt,
820ce5c7-911c-422d-a98d-2e45f1c27ac1,09-Jan-1914,65,Femern,Swedish,Larsen,335,Gothenburg,General,,F,"AG: Can't be sure but there are other instances in the records that have been transcribed here as Femern. Also discovered that this is the Danish name for the German harbour town of Fehmarn, so seems plausible.",Elaine Maslin,Ian Watt,
add840c1-82d8-4479-aa64-8cbf82358dcd,09-Jan-1914,66,Earl of Aberdeen,British ,Dove,352,Newcastle,Goods,,,,Elaine Maslin,Ian Watt,
c2778dd8-2b79-4b54-9067-6bf890ca7f83,09-Jan-1914,67,Aberdonian,British ,Dowman,747,London,Goods,,,,Elaine Maslin,Ian Watt,
c71242de-ad2d-478d-a998-814ba2c8eac2,09-Jan-1914,68,Belford,British ,Smith ,191,Middlesborough,Iron Rails,,,,Elaine Maslin,Ian Watt,
0d3f3ec8-a92e-47f0-82b6-849d3329b86b,09-Jan-1914,69,St Magnus,British,Leask,372,Stromness,Goods,,,,Heather Black,Mollie Horne,
b47e6237-d108-4987-97e3-4a3343327010,09-Jan-1914,70,St Nicholas,British,Gray,452,Stromness,Goods,,,,Heather Black,Mollie Horne,
655f52db-7574-4861-a65a-3487f69a39d1,09-Jan-1914,71,Earnholm,British,MacDonald,191,Leith,Goods,,,,Heather Black,Mollie Horne,
042a2b2c-8c03-4899-85e5-3f38e4b6413b,09-Jan-1914,72,Inger,Norway,Dahl,681,Antwerp,Limestone,,F,,Heather Black,Mollie Horne,
b5e9a77f-906f-4f02-8b3c-a402b5bff4a1,09-Jan-1914,73,Rubislaw,British,Walker,411,Hamburg,Goods,,BF,,Heather Black,Mollie Horne,
c9d88fcd-1952-4d76-825b-3a1e9c16b9a7,10-Jan-1914,74,Luddick,British,Barron,213,Inverness,Goods,"Strong Southerly Gail accompanied by thick driving rain, heavy sea running across harbour mouth a. Dead Swell coming in Channel. ","Buried G Patrick today 3? & 9.40pm, while the Ger. trwl ""Odin"" was proceeding to sea. She took the gravel at Abercrombys - she got off with her own engines apparently undamaged",,Heather Black,Mollie Horne,
4a05907f-edc3-40cd-9552-652bc8027367,10-Jan-1914,75,Princess Royal,British,Rundall,525,Dundee,Goods,,,,Heather Black,Mollie Horne,
69993ff6-1c8c-4118-8f13-0082a01fd281,10-Jan-1914,76,Sweet Home,British,Young,69,Bo'ness,Coal WB,,,,Heather Black,Mollie Horne,
ade0f83f-05d8-4fd3-9da9-8be3cff88add,10-Jan-1914,77,Princess Dagmar,British,Harrison,316,Dundee,Goods,,,,Heather Black,Mollie Horne,
baafec49-1fd9-4133-9cdf-6805daa97c65,10-Jan-1914,78,Advent,British,Cook,450,Put Back,WB,,,,Heather Black,Mollie Horne,
74eaaa4b-4f10-4a33-9bc4-e5a02941db36,10-Jan-1914,79,Faith,British,Wright,163,Granton,Coal,,,,Heather Black,Mollie Horne,
3ae97311-b443-4cb0-be3d-f510cca7dfa0,10-Jan-1914,80,Redhall,British,Ross,345,Sheilds,Coal,,,,Heather Black,Mollie Horne,
be76ad95-6c10-4ada-b69d-bd0bbbc67ed8,11-Jan-1914,81,Princess Victoria,British,Kinley,647,Liverpool,Goods,Weather improving still overcast high sea winds. Southerly moderate gale,,,Heather Black,Mollie Horne,
b76896f5-a29a-4f2b-8126-ec1938cbbe5e,11-Jan-1914,82,St Sunniva,British,Johnston,365,Lerwick,Goods,,,,Heather Black,Mollie Horne,
d3062da1-4228-4290-b528-d00994ffb77b,11-Jan-1914,83,Spray,British,Lawerance,580,Sunderland,Coal,,,,Heather Black,Mollie Horne,
3d2f0793-315e-4c5f-8cea-69453684c742,11-Jan-1914,84,Earnholm,British,McDonald,191,Leith,Goods,,,,Heather Black,Mollie Horne,
b478f6d4-d18e-40ce-b42c-ac7a0d7e9777,11-Jan-1914,85,St Nicholas,British,Gray,452,Leith,Goods,,,,Heather Black,Mollie Horne,
61a923b7-1006-4d10-a565-aeb78579d1eb,11-Jan-1914,86,Norwood,British,Clark,347,Hull,Goods,,,,Heather Black,Mollie Horne,
01d0cc87-f08e-452b-aea6-29a0cf42a16f,12-Jan-1914,87,City of London,British,Taylor,575,London,Goods,Wind. Still continues from south overcast and gloomy - sea falling,,,Heather Black,Mollie Horne,
a2c5e83b-9e8f-419c-9249-740e35f2d462,12-Jan-1914,88,Leith,British,Rennie,114,Goole,Coal,,,,Heather Black,Mollie Horne,
a9cd6f23-f002-451a-b3b5-6deeefe96377,12-Jan-1914,89,Glen Gelder,British,Smart,437,Christiania,General,,,,Heather Black,Mollie Horne,
f4b45043-815f-4b2e-afb3-c10dbd5b30a2,12-Jan-1914,90,Girdleness,British,Stephens,375,Okien,General,,,,Heather Black,Mollie Horne,
605efd4c-0809-4513-9312-429ea229442e,12-Jan-1914,100,W P Podd M.I - new trawler,(blank),McRetley,(blank),Bay,Trails,,,,Heather Black,Mollie Horne,
cc91fe48-4265-4d10-b99a-3753d1fc1ad8,12-Jan-1914,101,St Magnus,British,Leask,272,Leith,Goods ,,,,Heather Black,Mollie Horne,
4216d5f3-b7f6-4ca1-8951-bfba6daaef7c,12-Jan-1914,102,St Clair,British,Mackenzie,349,Leith,Goods,,,,Heather Black,Mollie Horne,
ca06c38e-30e3-406d-b9be-fe7d3889f6f1,13-Jan-1914,103,Thrift,British,Mackay,208,Blyth,Coal,Variable winds throughout. Overcast and gloomy sea. Moderate,,,Heather Black,Mollie Horne,
d4b668fd-e198-4a55-8bd6-627d83898b7f,13-Jan-1914,104,James Crombie,British,Darroch,263,Leith,Goods,,,,Heather Black,Mollie Horne,
a69fe5ae-1447-435a-8c39-b37c8d485888,13-Jan-1914,105,Portlethen,British,Godeman,57,Sheilds,Lime,,,,Heather Black,Mollie Horne,
7cf5f405-554e-4e4a-86e7-fc88f6550469,13-Jan-1914,106,Princess Alberta,British,Cubbin,525,Liverpool,Goods,,,,Heather Black,Mollie Horne,
d32354d5-5e06-4a3e-b76e-175b1a9228c2,13-Jan-1914,107,Express,British,Heddle,89,Kirkwall,Goods,,,AG: Found this https://crewlist.org.uk/data/vesselsnum/62206 and that ties with other records for express (although image looks nothing like express!,Heather Black,Mollie Horne,
8ca77784-45e6-48ed-a4a6-23a28c584d9d,13-Jan-1914,108,Utopia,British,Smith,63,Put Back,Light WB,,,,Heather Black,Mollie Horne,
83b6e7d9-0746-497a-af49-fe5154b81595,13-Jan-1914,109,St Ninian,British,Williamson,292,Kirkwall,Goods,,,,Heather Black,Mollie Horne,
ab73e28b-f376-4ce1-92e1-8a3de4caeae2,13-Jan-1914,110,Ballochbuie,British,Falconer,395,Sunderland,Coal,,,,Heather Black,Mollie Horne,
4fad4f43-3d2c-4293-9065-853f723ea42c,13-Jan-1914,111,Firth,British,Wright,163,Boness,Coal,,,,Heather Black,Mollie Horne,
59b72953-101e-4cc1-88ee-8a6b98c9f96a,14-Jan-1914,112,Brenda,British,McKenzie,(blank),,,"Wednesday 14th wind northerly, weather fine, overcast and hazy, sea smooth, no other remarks",,,Phil Astley,Mollie Horne,
393d8cae-d1c7-475f-b1a7-8d4218deac45,14-Jan-1914,113,Earnholm,British,McDonald,191,North Sea,Cruising,,,,Phil Astley,Mollie Horne,
2e0aeb20-6817-4f4d-8aa0-34cfe7dab4e9,14-Jan-1914,114,Garmoyle,British,Smith,29,Leith,Coal,,,,Phil Astley,Mollie Horne,
4316cf7c-3992-45e1-90ab-d0db71e893d4,14-Jan-1914,115,Ashdene,British,Willet,125,St.Davids,Coal,,,,Phil Astley,Mollie Horne,
7c78ec92-4eab-4f97-b2db-4e4d3c7d522b,14-Jan-1914,116,Advent,British,Cook,530,Sunderland,Coal,,,,Phil Astley,Mollie Horne,
567486f1-9a92-4a07-86ff-73c738a2b5b3,14-Jan-1914,117,Reahall,British,Ross,345,Shields,Coal,,,,Phil Astley,Mollie Horne,
2d9aa96d-4ec6-4e9c-9519-be93e663d453,14-Jan-1914,118,Dunleith,British,Auld,111,Goole,Coal,,,,Phil Astley,Mollie Horne,
9f38cdfb-663d-460f-b788-dfcecc909b89,15-Jan-1914,119,Spray,British,Lawerance,580,Sunderland,Coal,"Thursday 15th, wind northerly, fine weather and smooth sea, sky overcast",,,Phil Astley,Mollie Horne,
01e24b6f-5aeb-4686-94c0-416d94e7dd3d,15-Jan-1914,120,St. Sunniva,British,Johnston,363,Leith,Goods,,,,Phil Astley,Mollie Horne,
9f5243ca-db6b-4dc4-b417-f5b5a324f818,15-Jan-1914,121,Princess Victoria,British,Kinley,647,Dundee,Goods,,,,Phil Astley,Mollie Horne,
a4ad2f3b-277b-4993-9179-02e316a20c9b,15-Jan-1914,122,Aberdon,British,Ross,495,Seaham,Coal,,,,Phil Astley,Mollie Horne,
89975c74-2d0f-432e-9319-48dde9a8f686,15-Jan-1914,213,Orcadia,British,Robertson,69,Kirkwall,Goods,,,,Phil Astley,Mollie Horne,
40acd2b7-4cad-4339-bc5a-358d54c946bf,15-Jan-1914,214,Thrift,British,MacKay,208,Blyth,Coal,,,,Phil Astley,Mollie Horne,
687b4c70-f518-4a25-8958-0051c23974ba,15-Jan-1914,125,Torfrey,British,Jones,174,Runcorn,Salt,,,AG: Pretty unsure on this one but could be Torfrey? https://crewlist.org.uk/data/vesselsalpha?shipsearch=TORFREY&SearchType=Exact&submit=search,Phil Astley,Mollie Horne,
5e2fda80-2e23-490c-8ba3-8c0da79e7fdd,15-Jan-1914,216,Aberdonian,British,Dowman,757,London,Goods,,,,Phil Astley,Mollie Horne,
c5167f94-7f03-49c0-8c64-ec749fc9582a,15-Jan-1914,217,Utopia,British,Smith,63,Kirkcaldy,Coal,,,,Phil Astley,Mollie Horne,
b18af18b-d19c-429b-b43b-66f87ab6c402,15-Jan-1914,218,Firth,British,Wright,163,Granton,Coal,,,,Phil Astley,Mollie Horne,
0c81843d-6c4e-4a69-b3e7-63bedae8a6fc,16-Jan-1914,219,Luddick,British,Barron,186,Hull,Goods,"Friday 16th, northerly winds, moderate, sea smooth, overcast and hazy",,,Phil Astley,Mollie Horne,
76ebb42b-567d-4a10-b3b9-e34de7ee677b,16-Jan-1914,130,St. Nicolas,British,Gray,452,Stromness,Goods,,,,Phil Astley,Mollie Horne,
ee281edc-8544-4bc6-8ba2-b682146357b7,16-Jan-1914,131,St. Ninian,British,Williamson,292,Leith,Goods,,,,Phil Astley,Mollie Horne,
b21daa18-b266-43b9-b266-5f06e33aadd9,16-Jan-1914,132,Caledonia,Holland,Roose,542,Rotterdam,Goods,,,,Phil Astley,Mollie Horne,
d7334eee-4686-4599-814c-700cf9b9e7e0,16-Jan-1914,133,Earnholm,British,Macdonald,191,Leith,Goods,,,,Phil Astley,Mollie Horne,
92864641-8775-4d6c-b114-1641afd69836,16-Jan-1914,134,Earl of Aberdeen,British,Dove,352,Newcastle,Goods,,,,Phil Astley,Mollie Horne,
5fe21550-891a-43ea-91c4-40076ac2ef4b,16-Jan-1914,135,James Crombie,British,Darroch,250,Inverness,Goods,,,,Phil Astley,Mollie Horne,
eeb79b58-5fee-4e2a-a361-dc3a5b51aa62,16-Jan-1914,136,St Clair,British,Mackenzie,349,Wick,Goods,,,,Phil Astley,Mollie Horne,
7cf12005-1213-43ae-823d-ed774666ec45,16-Jan-1914,137,St. Magnus,British,Leask,272,Lerwick,Goods,,,,Phil Astley,Mollie Horne,
cdef67d6-be16-4e65-a39f-048c68ebf0bc,16-Jan-1914,138,Flying Scud,British,Leith,16,Peterhead,Towing,,,,Phil Astley,Mollie Horne,
8eeaf242-0c0c-42d7-91df-a7cfb71bea54,16-Jan-1914,139,David Sumners,British,Leith,27,Peterhead,Disabled,,,,Phil Astley,Mollie Horne,
90f12a70-7e9b-4cd2-85df-8c554f7a49e9,16-Jan-1914,140,Spray ,British,Alves,375,Goole,Coal,,,,Phil Astley,Mollie Horne,
43404bc2-035d-4c94-933a-28047f1e191b,16-Jan-1914,141,Glengelder,British,Smart,449,Leith,Coal,,,,Phil Astley,Mollie Horne,
cf58d64b-1d94-4388-a965-55100459ae27,17-Jan-1914,146,Thrift,British,Mackay,203,Blyth,Coal,,,These were at the start of 18/01/1914 sheet but not inputted,,Sheena Sutherland,
a2603b7a-d66a-4a18-9648-657678b133b9,17-Jan-1914,147,Marien,British,Sutherland,168,London via Montrose,Cement,,,These were at the start of 18/01/1914 sheet but not inputted,,Sheena Sutherland,
fd5e6214-3527-4cad-bfdf-351a58676a18,17-Jan-1914,148,Redhall,British,Ross,363,Shields,Coal,,,These were at the start of 18/01/1914 sheet but not inputted,,Sheena Sutherland,
2e09d89b-6a8a-4aca-b2b7-f641a523bcd3,17-Jan-1914,142,Princess Alberta,British,Cubbin,525,Dundee,Okien,"Saturday, strong northerly wind, squally later, part fine, sea choppy",,,Phil Astley,Mollie Horne,
08bc1b2f-1d8e-4f01-afb4-e966ca9e5016,17-Jan-1914,143,Glen Tilt,British,Alcock,397,Skien,General,,,,Phil Astley,Mollie Horne,
cd1d3fd2-a76d-45b2-9de8-0d09b48fb60a,17-Jan-1914,144,Princess Caroline,British,Jones,361,Goole,Coal,,,,Phil Astley,Mollie Horne,
ac088a63-d050-48f1-85fb-9d0d05fdd2ce,17-Jan-1914,145,Utopia,British,Smith,63,Kirkcaldy,Coal,,,,,,
4cbc6673-207c-4649-8ac2-0b95edb358bd,18-Jan-1914,149,Firth,British,Wright,395,Granton,Coal,Sunday 18th. South West Wind accompanied by fine weather. Sea Smooth,,,Mark Cullen,Sheena Sutherland,
e7c89ecb-c964-4ce7-a82e-bc4f3ef208d0,18-Jan-1914,150,Ballochbuie,British,Falconer,380,Sunderland,Coal,,,,Mark Cullen,Sheena Sutherland,
80e9837a-31e7-4676-872e-3d77a607c28a,18-Jan-1914,151,Spray II,British,Lawerance,580,Sunderland,Coal,,,,Mark Cullen,Sheena Sutherland,
1cd78b21-607d-4e59-be46-ad2d18909325,18-Jan-1914,152,Earnholm,British,Macdonald,191,Leith,Goods,,,,Mark Cullen,Sheena Sutherland,
8c7ce2f8-7fb7-4b56-a588-e3f05bc00c7b,18-Jan-1914,153,Alicia,British,Newburgh,1316,Sulina,Grain,,,,Mark Cullen,Sheena Sutherland,Would agree Sulina
82332b8f-f907-4d95-b5ab-77e168e947d3,18-Jan-1914,154,Prima,Norway,Harvig,383,Newcastle,Light,,,,Mark Cullen,Sheena Sutherland,
bf8cebd4-08c0-41ac-ac68-a47ecb558ec4,18-Jan-1914,155,St Sunniva,British,Johnston,363,Lerwick,Goods,,,,Mark Cullen,Sheena Sutherland,
662d4e45-cf31-4dfe-a8ff-dd352d19a430,18-Jan-1914,156,St Nicholas,British,Gray,452,Leith,Goods,,,,Mark Cullen,Sheena Sutherland,
23343a34-796d-41f1-b511-7baa6d2b4a6f,19-Jan-1914,157,City of London,British,Taylor,575,London,Goods,"Monday 19th. Variable Winds. Overcast, Showery. Sea Smooth",,,Mark Cullen,Sheena Sutherland,
b2502cb9-f646-401a-93a6-91b980ed088c,19-Jan-1914,158,Norwood,British,Clark,348,Hull,Goods,,,,Mark Cullen,Sheena Sutherland,
b85252db-5af6-428f-a8d6-4810cd4d1509,19-Jan-1914,159,Rubislaw,British,Walker,480,Hamburg,Goods,,,,Mark Cullen,Sheena Sutherland,
